TipID,Title,Slug,Content,Category,SEOKeyword,CTA,Status,FocusAirline,Journey Stage,Result Context,Affiliate Category,Priority,MasterStatus,SourceMasterSheet,MasterContentID,RuntimeContractID,PublishEligibility,RotationGroup,RotationWeight,PublishBlockReason
AME-TIP-000001,"When flying American, always check the airport's specific bag-drop-off cut-off times, which are",ame-tip-000001,"When flying American, always check the airport's specific bag-drop-off cut-off times, which are often stricter than the flight boarding time. Use your WillitFit profile to keep a record of your bag's 'fit status' so you can breeze through self-service kiosks at American hubs.",Airport Experience,american travel tips,Check your bag size,Draft,American,At the Airport,Universal,Luggage Scale,3,Approved,13_Content,AME-TIP-000001,RTC-003,Eligible for Review,At the Airport | Universal,3,Awaiting explicit release approval
AME-TIP-000002,"On American flights, maximizing your footwell space is crucial; if you've brought a 'personal i",ame-tip-000002,"On American flights, maximizing your footwell space is crucial; if you've brought a 'personal item' that fits the WillitFit audit, stow it efficiently. Keeping the floor clear of bulky bags helps you reclaim your personal space during long-haul American journeys.",In-Flight Comfort,american travel tips,Check your bag size,Draft,American,During Flight,Universal,Luggage Scale,3,Approved,13_Content,AME-TIP-000002,RTC-003,Eligible for Review,During Flight | Universal,3,Awaiting explicit release approval
QA-TIP-000001,"On Qatar Airways flights, maximizing your footwell space is crucial; if you've brought a 'perso",qa-tip-000001,"On Qatar Airways flights, maximizing your footwell space is crucial; if you've brought a 'personal item' that fits the WillitFit audit, stow it efficiently. Keeping the floor clear of bulky bags helps you reclaim your personal space during long-haul Qatar Airways journeys.",In-Flight Comfort,qatar airways travel tips,Check your bag size,Draft,Qatar Airways,During Flight,Universal,Luggage Scale,3,Approved,13_Content,QA-TIP-000001,RTC-003,Eligible for Review,During Flight | Universal,3,Awaiting explicit release approval
EZY-TIP-000001,"On EasyJet flights, maximizing your footwell space is crucial; if you've brought a 'personal it",ezy-tip-000001,"On EasyJet flights, maximizing your footwell space is crucial; if you've brought a 'personal item' that fits the WillitFit audit, stow it efficiently. Keeping the floor clear of bulky bags helps you reclaim your personal space during long-haul EasyJet journeys.",In-Flight Comfort,easyjet travel tips,Check your bag size,Draft,EasyJet,During Flight,Universal,Luggage Scale,3,Approved,13_Content,EZY-TIP-000001,RTC-003,Eligible for Review,During Flight | Universal,3,Awaiting explicit release approval
UNI-TIP-000001,"On United flights, maximizing your footwell space is crucial; if you've brought a 'personal ite",uni-tip-000001,"On United flights, maximizing your footwell space is crucial; if you've brought a 'personal item' that fits the WillitFit audit, stow it efficiently. Keeping the floor clear of bulky bags helps you reclaim your personal space during long-haul United journeys.",In-Flight Comfort,united travel tips,Check your bag size,Draft,United,During Flight,Universal,Luggage Scale,3,Approved,13_Content,UNI-TIP-000001,RTC-003,Eligible for Review,During Flight | Universal,3,Awaiting explicit release approval
VA-TIP-000001,Combine your WillitFit baggage compliance check with a smart packing strategy for Virgin Atlant,va-tip-000001,Combine your WillitFit baggage compliance check with a smart packing strategy for Virgin Atlantic to avoid 'baggage anxiety'. Organizing your essentials into modular pouches that fit the WillitFit-approved dimensions makes transferring through Virgin Atlantic security much faster.,General Travel Hacks,virgin atlantic travel tips,Check your bag size,Draft,Virgin Atlantic,General Travel,Universal,Luggage Scale,3,Approved,13_Content,VA-TIP-000001,RTC-003,Eligible for Review,General Travel | Universal,3,Awaiting explicit release approval
EMI-TIP-000001,Use the WillitFit audit tool to verify your bag against Emirates's specific cabin dimensions be,emi-tip-000001,Use the WillitFit audit tool to verify your bag against Emirates's specific cabin dimensions before packing. Even a half-inch difference can lead to a gate-check fee; pre-verifying your gear ensures you stay within Emirates's strict allowance.,Packing/Baggage,emirates travel tips,Check your bag size,Draft,Emirates,Before Packing,Universal,Luggage Scale,3,Approved,13_Content,EMI-TIP-000001,RTC-003,Eligible for Review,Before Packing | Universal,3,Awaiting explicit release approval
UNI-TIP-000002,Use the WillitFit audit tool to verify your bag against United's specific cabin dimensions befo,uni-tip-000002,Use the WillitFit audit tool to verify your bag against United's specific cabin dimensions before packing. Even a half-inch difference can lead to a gate-check fee; pre-verifying your gear ensures you stay within United's strict allowance.,Packing/Baggage,united travel tips,Check your bag size,Draft,United,Before Packing,Universal,Luggage Scale,3,Approved,13_Content,UNI-TIP-000002,RTC-003,Eligible for Review,Before Packing | Universal,3,Awaiting explicit release approval
JET2-TIP-000001,Combine your WillitFit baggage compliance check with a smart packing strategy for Jet2 to avoid,jet2-tip-000001,Combine your WillitFit baggage compliance check with a smart packing strategy for Jet2 to avoid 'baggage anxiety'. Organizing your essentials into modular pouches that fit the WillitFit-approved dimensions makes transferring through Jet2 security much faster.,General Travel Hacks,jet2 travel tips,Check your bag size,Draft,Jet2,General Travel,Universal,Luggage Scale,3,Approved,13_Content,JET2-TIP-000001,RTC-003,Eligible for Review,General Travel | Universal,3,Awaiting explicit release approval
SA-TIP-000001,"On Singapore Airlines flights, maximizing your footwell space is crucial; if you've brought a '",sa-tip-000001,"On Singapore Airlines flights, maximizing your footwell space is crucial; if you've brought a 'personal item' that fits the WillitFit audit, stow it efficiently. Keeping the floor clear of bulky bags helps you reclaim your personal space during long-haul Singapore Airlines journeys.",In-Flight Comfort,singapore airlines travel tips,Check your bag size,Draft,Singapore Airlines,During Flight,Universal,Luggage Scale,3,Approved,13_Content,SA-TIP-000001,RTC-003,Eligible for Review,During Flight | Universal,3,Awaiting explicit release approval
